date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:37:52	445161/445161	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2002:37:48%20GMT	https://etech.co.ke/	C:/My%20Web%20Sites/etech-clone/etech.co.ke/index.html	(from )
05:37:52	122/122	---M-Z	200	added ('OK')	text/plain	date:Thu,%2009%20Mar%202023%2023:14:31%20GMT	https://etech.co.ke/robots.txt		(from )
05:37:53	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2017%20Mar%202023%2002:37:53%20GMT	https://etech.co.ke/xmlrpc.php	C:/My%20Web%20Sites/etech-clone/etech.co.ke/xmlrpc.php	(from https://etech.co.ke/)
05:37:53	8581/8581	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263fd119f-2185%22	https://etech.co.ke/wp-content/themes/woodmart/js/libs/ie11CustomProperties.min.js	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/themes/woodmart/js/libs/ie11CustomProperties.min.js	(from https://etech.co.ke/)
05:37:54	4521/4521	---MCZ	200	added ('OK')	text/css	etag:W/%2263fd119e-11a9%22	https://etech.co.ke/wp-content/themes/woodmart/css/bootstrap-light.min.css?ver=7.1.4	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/themes/woodmart/css/bootstrap-light.minf719.css	(from https://etech.co.ke/)
05:37:55	49632/49632	---MCZ	200	added ('OK')	text/css	etag:W/%2263fd119e-c1e0%22	https://etech.co.ke/wp-content/themes/woodmart/css/parts/base.min.css?ver=7.1.4	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/themes/woodmart/css/parts/base.minf719.css	(from https://etech.co.ke/)
05:37:55	264/264	---MCZ	200	added ('OK')	text/css	etag:W/%2263fd119e-108%22	https://etech.co.ke/wp-content/themes/woodmart/css/parts/woo-widget-price-filter.min.css?ver=7.1.4	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/themes/woodmart/css/parts/woo-widget-price-filter.minf719.css	(from https://etech.co.ke/)
05:37:56	94889/94889	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2014:56:45%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	(from https://etech.co.ke/)
05:37:56	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://etech.co.ke/)
05:37:56	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://etech.co.ke/)
05:37:57	10435/10435	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2022:19:11%20GMT	https://c0.wp.com/p/woocommerce/7.5.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/p/woocommerce/7.5.0/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://etech.co.ke/)
05:37:57	258673/258673	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2000:45:44%20GMT	https://c0.wp.com/p/woocommerce/7.5.0/packages/woocommerce-blocks/build/wc-blocks-style.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/p/woocommerce/7.5.0/packages/woocommerce-blocks/build/wc-blocks-style.css	(from https://etech.co.ke/)
05:37:57	6358/6358	---M-Z	200	added ('OK')	application/rss+xml	etag:%229f4ae7aeec7dbcd7c8b14a3884606686-gzip%22	https://etech.co.ke/comments/feed/	C:/My%20Web%20Sites/etech-clone/etech.co.ke/comments/feed/index.html	(from https://etech.co.ke/)
05:37:58	217/217	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	C:/My%20Web%20Sites/etech-clone/c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	(from https://etech.co.ke/)
05:37:58	713/713	---MCZ	200	added ('OK')	text/css	etag:W/%2263663a22-3be%22	https://etech.co.ke/wp-content/plugins/woo-order-on-whatsapp//assets/css/style.css?ver=2.2	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/plugins/woo-order-on-whatsapp/assets/css/styledc8c.css	(from https://etech.co.ke/)
05:37:58	69219/69219	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c0a7cdb4af689b37d2f4da31153c0b24-gzip%22	https://etech.co.ke/feed/	C:/My%20Web%20Sites/etech-clone/etech.co.ke/feed/index.html	(from https://etech.co.ke/)
05:37:58	34707/34707	---MCZ	200	added ('OK')	text/css	etag:W/%2263e7687c-8793%22	https://etech.co.ke/wp-content/plugins/ajax-search-for-woocommerce-premium/assets/css/style.min.css?ver=1.22.1	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/plugins/ajax-search-for-woocommerce-premium/assets/css/style.mine833.css	(from https://etech.co.ke/)
05:37:58	32385/32385	---MCZ	200	added ('OK')	text/css	etag:W/%2263fe637e-7f34%22	https://etech.co.ke/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/style.css?ver=7.0.2	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/style42a0.css	(from https://etech.co.ke/)
05:37:58	9901/9901	---MCZ	200	added ('OK')	text/css	etag:W/%22640e35c0-26ad%22	https://etech.co.ke/wp-content/uploads/elementor/css/custom-frontend-legacy.min.css?ver=3.11.5	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/uploads/elementor/css/custom-frontend-legacy.mina3be.css	(from https://etech.co.ke/)
05:37:59	87484/87484	---MCZ	200	added ('OK')	text/css	etag:W/%226410bb4c-155bc%22	https://etech.co.ke/wp-content/uploads/elementor/css/custom-frontend-lite.min.css?ver=1678818124	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/uploads/elementor/css/custom-frontend-lite.min1637.css	(from https://etech.co.ke/)
05:37:59	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%2263ea1024-324c%22	https://etech.co.ke/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://etech.co.ke/)
05:37:59	941/941	---MCZ	200	added ('OK')	text/css	etag:W/%226410bb4c-3bd%22	https://etech.co.ke/wp-content/uploads/elementor/css/post-4.css?ver=1678818124	C:/My%20Web%20Sites/etech-clone/etech.co.ke/wp-content/uploads/elementor/css/post-41637.css	(from https://etech.co.ke/)
